,candidate,year,under200,between200and500,between500and1000,between1000and2000,morethan2000
1,Joe Biden,2020,543075175.2,92110852.72,99886158.4,107345690.5,277175868
2,Donald Trump,2020,372755019.5,95101162.43,58766702.96,49368516.8,131186929.9
3,Donald Trump,2016,109298780.1,28554748.58,16469913.28,13306512.11,28013764.62
4,Hillary Clinton,2016,233238739.4,45472282.72,34877744.99,55502455.01,179638526.3
5,Barack Obama,2012,382219440.4,75366859.17,64467244.87,65967705.47,110053382.1
6,Mitt Romney,2012,106853667.5,39602561.91,37580192.39,70277974.32,202630309.1
7,Barack Obama,2008,115055157.4,79742738.7,63881100.46,87933829.39,148951315.4
8,John McCain,2008,69629091.32,13473836.3,22384443.85,38272549.7,96068568.67
9,George Bush,2004,13012166.68,12866396.5,16609516.34,37460385.07,118323862
10,John Kerry,2004,11678584.61,20488507.41,25604973.71,49168494.73,63266067.4
11,George Bush,2000,376531,5236255,12862410,59202222,5643456
12,Al Gore,2000,342870,3044771,3950572,24419021,1285000
